,rank,uni_name,count,faculty,div_ids
41,42,University of Illinois at Chicago,3.6,45,University%20of%20Illinois%20at%20Chicago-faculty
42,43,Rice University,3.5,30,Rice%20University-faculty
43,43,University of Colorado Boulder,3.5,62,University%20of%20Colorado%20Boulder-faculty
44,45,Arizona State University,3.4,49,Arizona%20State%20University-faculty
45,45,University of Minnesota,3.4,41,University%20of%20Minnesota-faculty
46,45,University of Virginia,3.4,39,University%20of%20Virginia-faculty
47,48,North Carolina State University,3.3,43,North%20Carolina%20State%20University-faculty
48,48,University of North Carolina,3.3,34,University%20of%20North%20Carolina-faculty
49,50,Univ of California  Davis,3.2,34,Univ.%20of%20California%20-%20Davis-faculty
50,51,Oregon State University,3.0,33,Oregon%20State%20University-faculty
51,51,Virginia Tech,3.0,52,Virginia%20Tech-faculty
52,53,Indiana University,2.9,54,Indiana%20University-faculty
53,53,Johns Hopkins University,2.9,28,Johns%20Hopkins%20University-faculty
54,53,University of Pittsburgh,2.9,37,University%20of%20Pittsburgh-faculty
55,56,University of Central Florida,2.8,40,University%20of%20Central%20Florida-faculty
56,57,Michigan State University,2.4,27,Michigan%20State%20University-faculty
57,57,University of Rochester,2.4,22,University%20of%20Rochester-faculty
58,57,University of Texas at Dallas,2.4,38,University%20of%20Texas%20at%20Dallas-faculty
59,60,Washington University in St Louis,2.3,22,Washington%20University%20in%20St.%20Louis-faculty
60,61,Rochester Institute of Technology,2.2,37,Rochester%20Institute%20of%20Technology-faculty
61,61,Univ of California  Merced,2.2,17,Univ.%20of%20California%20-%20Merced-faculty
62,63,University of Notre Dame,2.1,24,University%20of%20Notre%20Dame-faculty
63,63,University of Texas at Arlington,2.1,23,University%20of%20Texas%20at%20Arlington-faculty
64,65,Binghamton University,2.0,18,Binghamton%20University-faculty
65,65,Dartmouth College,2.0,17,Dartmouth%20College-faculty
66,65,University of Connecticut,2.0,20,University%20of%20Connecticut-faculty
67,65,University of Florida,2.0,26,University%20of%20Florida-faculty
68,69,California Institute of Technology,1.9,13,California%20Institute%20of%20Technology-faculty
69,69,TTI Chicago,1.9,13,TTI%20Chicago-faculty
70,69,Vanderbilt University,1.9,28,Vanderbilt%20University-faculty
71,69,Worcester Polytechnic Institute,1.9,25,Worcester%20Polytechnic%20Institute-faculty
72,73,Clemson University,1.8,22,Clemson%20University-faculty
73,73,College of William and Mary,1.8,14,College%20of%20William%20and%20Mary-faculty
74,73,Stevens Institute of Technology,1.8,16,Stevens%20Institute%20of%20Technology-faculty
75,73,Tufts University,1.8,17,Tufts%20University-faculty
76,73,University of Delaware,1.8,22,University%20of%20Delaware-faculty
77,78,CUNY,1.7,33,CUNY-faculty
78,78,Florida State University,1.7,14,Florida%20State%20University-faculty
79,78,Iowa State University,1.7,22,Iowa%20State%20University-faculty
80,78,NJIT,1.7,21,NJIT-faculty
81,78,University of Houston,1.7,15,University%20of%20Houston-faculty
82,78,University of Oregon,1.7,16,University%20of%20Oregon-faculty
83,84,Colorado School of Mines,1.6,11,Colorado%20School%20of%20Mines-faculty
84,84,Emory University,1.6,13,Emory%20University-faculty
85,84,Georgetown University,1.6,14,Georgetown%20University-faculty
86,84,Illinois Institute of Technology,1.6,17,Illinois%20Institute%20of%20Technology-faculty
87,84,Syracuse University,1.6,18,Syracuse%20University-faculty
88,84,Temple University,1.6,16,Temple%20University-faculty
89,84,University of Arizona,1.6,19,University%20of%20Arizona-faculty
90,84,University of Tennessee,1.6,14,University%20of%20Tennessee-faculty
91,84,Washington State University,1.6,17,Washington%20State%20University-faculty
92,93,Brigham Young University,1.5,20,Brigham%20Young%20University-faculty
93,93,George Washington University,1.5,14,George%20Washington%20University-faculty
94,93,Lehigh University,1.5,15,Lehigh%20University-faculty
95,93,Portland State University,1.5,12,Portland%20State%20University-faculty
96,93,Rensselaer Polytechnic Institute,1.5,11,Rensselaer%20Polytechnic%20Institute-faculty
97,93,UNC  Charlotte,1.5,17,UNC%20-%20Charlotte-faculty
98,93,University of Georgia,1.5,11,University%20of%20Georgia-faculty
