,Faculty Home Page,# Pubs,Adj. #
,http://www.alexandraion.com,https://dblp.org/pers/hd/i/Ion:Alexandra,2.6
,http://www.cs.cmu.edu/~guyb,https://dblp.org/pers/hd/b/Blelloch:Guy_E%3D,3.2
,https://clairelegoues.com,https://dblp.org/pers/hd/g/Goues:Claire_Le,3.2
,https://www.cs.cmu.edu/~zhihaoj2,https://dblp.org/pers/hd/j/Jia:Zhihao,1.9
,http://www.frc.ri.cmu.edu/users/alonzo,https://dblp.org/pers/hd/k/Kelly:Alonzo,4.0
,http://www.cs.cmu.edu/~tcm,https://dblp.org/pers/hd/m/Mowry:Todd_C%3D,1.8
,http://www.cs.cmu.edu/~ylpark,https://dblp.org/pers/hd/p/Park:Yong%3DLae,2.5
,http://www.cs.cmu.edu/~bhiksha,https://dblp.org/pers/hd/r/Raj:Bhiksha,2.9
,http://www.cs.cmu.edu/~rvinayak,https://dblp.org/pers/hd/r/Rashmi:K%3D_V%3D,2.9
,http://www.ri.cmu.edu/person.html?person_id=339,https://dblp.org/pers/hd/w/Whittaker:William,2.8
,http://www.cs.cmu.edu/~jianma,https://dblp.org/pers/hd/m/Ma_0004:Jian,2.6
,http://www.umut-acar.org,https://dblp.org/pers/hd/a/Acar:Umut_A%3D,2.4
,https://www.hcii.cmu.edu/people/geoff-kaufman,https://dblp.org/pers/hd/k/Kaufman:Geoff,2.3
,http://www.cs.cmu.edu/~rwh,https://dblp.org/pers/hd/h/Harper_0001:Robert,3.8
,http://www.heinz.cmu.edu/~acquisti,https://dblp.org/pers/hd/a/Acquisti:Alessandro,1.5
,https://www.ri.cmu.edu/ri-faculty/henny-admoni,https://dblp.org/pers/hd/a/Admoni:Henny,2.3
,http://herbsleb.org,https://dblp.org/pers/hd/h/Herbsleb:James_D%3D,3.4
,https://www.cs.cmu.edu/~kiesler,https://dblp.org/pers/hd/k/Kiesler:Sara_B%3D,2.3
,http://pact.cs.cmu.edu/koedinger.html,https://dblp.org/pers/hd/k/Koedinger:Kenneth_R%3D,2.4
,https://www.cs.cmu.edu/~glmiller,https://dblp.org/pers/hd/m/Miller:Gary_L%3D,2.4
,https://people.cs.umass.edu/~strubell,https://dblp.org/pers/hd/s/Strubell:Emma,2.3
,https://tqchen.com,https://dblp.org/pers/hd/c/Chen:Tianqi,1.7
,https://vhellendoorn.github.io,https://dblp.org/pers/hd/h/Hellendoorn:Vincent_J%3D,2.1
,https://eskang.github.io,https://dblp.org/pers/hd/k/Kang:Eunsuk,2.0
,https://wzheng.github.io,https://dblp.org/pers/hd/z/Zheng:Wenting,1.6
,http://www.cs.cmu.edu/~./aldrich,https://dblp.org/pers/hd/a/Aldrich:Jonathan,1.4
,http://www.casos.cs.cmu.edu/bios/carley/carley.html,https://dblp.org/pers/hd/c/Carley:Kathleen_M%3D,3.0
,http://www.patrickcarrington.com,https://dblp.org/pers/hd/c/Carrington:Patrick,1.3
,https://users.ece.cmu.edu/~virgil,https://dblp.org/pers/hd/g/Gligor:Virgil_D%3D,2.3
,https://www.hcii.cmu.edu/people/amy-ogan,https://dblp.org/pers/hd/o/Ogan:Amy,1.1
,http://www.cs.cmu.edu/~prs,https://dblp.org/pers/hd/s/Steenkiste:Peter,1.3
,http://www.ece.cmu.edu/~gamvrosi,https://dblp.org/pers/hd/a/Amvrosiadis:George,1.3
